bootstrap_resamples,bootstrap_seed,bootstrap_unit,confidence_interval_95,count,mean,median,name,p50,p95,section,standard_deviation
10000,42,benchmark_case,"[0.15555555555555556, 0.6722222222222222]",9,0.40555555555555556,0.4000000000000001,base,0.4000000000000001,1.0,conditions,0.4318886173283313
10000,42,benchmark_case,"[0.3018055555555556, 0.7666666666666667]",9,0.5259259259259259,0.4000000000000001,code,0.4000000000000001,1.0,conditions,0.38025129767394095
10000,42,benchmark_case,"[0.2111111111111111, 0.6370370370370371]",9,0.4148148148148148,0.3333333333333333,math,0.3333333333333333,0.8999999999999999,conditions,0.34865260930517733
10000,42,benchmark_case,"[0.16643518518518538, 0.6111111111111112]",9,0.3703703703703704,0.25,science,0.25,1.0,conditions,0.37525711350295266
10000,42,benchmark_case,"[0.5425925925925926, 0.9333333333333333]",9,0.7481481481481481,1.0,empirical_oracle,1.0,1.0,policies,0.3276011765305453
10000,42,benchmark_case,"[0.22037037037037038, 0.6833333333333333]",9,0.4425925925925926,0.3333333333333333,label_oracle,0.3333333333333333,1.0,policies,0.3865904299046048
10000,42,benchmark_case,"[0.22037037037037038, 0.6833333333333333]",9,0.4425925925925926,0.3333333333333333,semantic_router,0.3333333333333333,1.0,policies,0.3865904299046048
10000,42,benchmark_case,"[0.1111111111111111, 0.6111111111111112]",9,0.3425925925925926,0.25,empirical_oracle,0.25,1.0,policy_delta_base,0.41341322405936715
10000,42,benchmark_case,"[-0.19444444444444445, 0.2314814814814815]",9,0.037037037037037035,0.0,label_oracle,0.0,0.43333333333333324,policy_delta_base,0.3488849079744575
10000,42,benchmark_case,"[-0.19444444444444445, 0.2314814814814815]",9,0.037037037037037035,0.0,semantic_router,0.0,0.43333333333333324,policy_delta_base,0.3488849079744575
10000,42,benchmark_case,"[0.1111111111111111, 0.6111111111111112]",9,0.3425925925925926,0.25,routing_opportunity,0.25,1.0,metrics,0.41341322405936715
10000,42,benchmark_case,"[-0.25, 0.2860119047619004]",7,0.047619047619047616,0.0,specialist_lift,0.0,0.44999999999999984,metrics,0.4021272798584413
10000,42,benchmark_case,"[-0.25, 0.3958333333333333]",6,0.0625,0.0,specialization_margin,0.0,0.65625,metrics,0.44546324203013654
